Year,Rank,Country name,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
2024,1,Finland,7.736,7.81,7.662,1.749,1.783,0.824,0.986,0.11,0.502,1.782
2024,2,Denmark,7.521,7.611,7.431,1.825,1.748,0.82,0.955,0.15,0.488,1.535
2024,3,Iceland,7.515,7.606,7.425,1.799,1.84,0.873,0.971,0.201,0.173,1.659
2024,4,Sweden,7.345,7.427,7.262,1.783,1.698,0.889,0.952,0.17,0.467,1.385
2024,5,Netherlands,7.306,7.372,7.24,1.822,1.667,0.844,0.86,0.186,0.344,1.583
2024,6,Costa Rica,7.274,7.361,7.187,1.492,1.6,0.68,0.948,0.067,0.118,2.369
2024,7,Norway,7.262,7.353,7.171,1.902,1.711,0.863,0.962,0.168,0.425,1.231
2024,8,Israel,7.234,7.301,7.168,1.695,1.743,0.824,0.74,0.144,0.193,1.895
2024,9,Luxembourg,7.122,7.213,7.031,2.028,1.558,0.864,0.931,0.117,0.397,1.227
2024,10,Mexico,6.979,7.068,6.889,1.435,1.504,0.55,0.879,0.057,0.118,2.438
2024,11,Australia,6.974,7.057,6.89,1.767,1.647,0.841,0.857,0.164,0.285,1.413
2024,12,New Zealand,6.952,7.031,6.874,1.698,1.712,0.815,0.861,0.167,0.429,1.27
2024,13,Switzerland,6.935,7.015,6.854,1.87,1.622,0.883,0.889,0.156,0.468,1.047
2024,14,Belgium,6.91,6.974,6.845,1.783,1.646,0.852,0.895,0.119,0.306,1.309
2024,15,Ireland,6.889,6.977,6.801,1.988,1.659,0.823,0.906,0.179,0.382,0.952
2024,16,Lithuania,6.829,6.912,6.746,1.684,1.699,0.592,0.702,0.031,0.123,1.998
2024,17,Austria,6.81,6.891,6.728,1.791,1.592,0.814,0.856,0.179,0.28,1.297
2024,18,Canada,6.803,6.888,6.718,1.749,1.647,0.832,0.813,0.168,0.323,1.271
2024,19,Slovenia,6.792,6.889,6.695,1.692,1.718,0.802,0.961,0.121,0.113,1.384
2024,20,Czechia,6.775,6.854,6.696,1.692,1.716,0.658,0.916,0.118,0.084,1.591
2023,1,Finland,7.741,7.815,7.667,1.844,1.572,0.695,0.859,0.142,0.546,2.082
2023,2,Denmark,7.583,7.665,7.5,1.908,1.52,0.699,0.823,0.204,0.548,1.881
